symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
AMRX,"Amneal Pharmaceuticals, Inc.",NASDAQ,4083187200.0,12.8,Chirag K. Patel,6374027200.0
CORZW,"Core Scientific, Inc.",NASDAQ,4079146224.0,12.93,Adam Sullivan,5380017080.0
MARA,"Marathon Digital Holdings, Inc.",NASDAQ,4076115287.0,10.72,Frederick G. Thiel,6287625850.0
MTB-PJ,M&T Bank Corporation,NYSE,4062763983.0,26.37,Rene F. Jones,
LRN,"Stride, Inc.",NYSE,4051941348.0,95.16,James J. Rhyu,6016385790.0
SHAK,Shake Shack Inc.,NYSE,4050327197.0,100.61,Robert Lynch,3806011040.0
REGCO,Regency Centers Corporation,NASDAQ,4036099098.0,22.13,Lisa Palmer,18885265462.0
NAVN,"Navan, Inc.",NASDAQ,4033366590.0,17.13,Ariel Cohen,5331028800.0
CRNX,"Crinetics Pharmaceuticals, Inc.",NASDAQ,4024860200.0,38.44,R. Scott Struthers,4325358350.0
INSW,"International Seaways, Inc.",NYSE,4014505042.0,81.22,Lois K. Zabrocky,2854518416.0
KTB,"Kontoor Brands, Inc.",NYSE,4002740064.0,72.0,Scott H. Baxter,4598677000.0
TEX,Terex Corporation,NYSE,3994060971.0,60.7,Simon A. Meester,5549404000.0
WSC,WillScot Holdings Corporation,NASDAQ,3992742619.0,22.06,Timothy D. Boswell,7562683781.0
TPH,"Tri Pointe Homes, Inc.",NYSE,3986047060.0,46.82,Douglas F. Bauer,2984428328.0
HRB,"H&R Block, Inc.",NYSE,3984058565.0,31.43,Curtis A. Campbell,8697328840.0
NTSK,"Netskope, Inc. Class A Common Stock",NASDAQ,3983127255.0,9.95,Sanjay Beri,32047920088.0
MANE,"Veradermics, Incorporated",NYSE,3978607900.0,106.55,Reid Waldman,7547287863.0
JOE,The St. Joe Company,NYSE,3972289242.0,69.03,Jorge Luis Gonzalez,3686468873.0
UCB,"United Community Banks, Inc.",NYSE,3967524600.0,33.15,Herbert Lynn Harton,3801413840.0
IRTC,"iRhythm Technologies, Inc.",NASDAQ,3966963525.0,120.75,Quentin S. Blackford,6173961760.0
CBT,Cabot Corporation,NYSE,3956308719.0,75.76,Sean D. Keohane,5040885000.0
CVSA,Covista Inc.,NYSE,3955364270.0,114.62,Stephen W. Beard,5292723550.0
CC,The Chemours Company,NYSE,3953238900.0,26.34,Denise Dignam,5685643253.0
LUNR,"Intuitive Machines, Inc.",NASDAQ,3950845936.0,24.79,Stephen J. Altemus,2225028128.0
SHO-PH,"Sunstone Hotel Investors, Inc.",NYSE,3949220455.0,20.85,Bryan Albert Giglia,
TNL,Travel + Leisure Co.,NYSE,3941924040.0,63.15,Michael D. Brown,9281767929.0
WBS-PG,Webster Financial Corporation,NYSE,3932203906.0,23.855,Luis R. Massiani,
PLUG,Plug Power Inc.,NASDAQ,3910862208.0,3.41,Jose Luis Crespo,2724162971.0
SLG-PI,SL Green Realty Corp.,NYSE,3889782351.0,21.28,Marc Holliday,
ABG,"Asbury Automotive Group, Inc.",NYSE,3885965252.0,201.39,Daniel E. Clara,10795682000.0
EE,"Excelerate Energy, Inc.",NYSE,3884894420.0,33.48,Steven Kobos,3924309214.0
DTW,DTE Energy Company JR SUB DB 2017 E,NYSE,3876704275.0,21.61,,52973859999.0
WHD,"Cactus, Inc.",NYSE,3871296858.0,55.77,Scott J. Bender,2675216200.0
BRC,Brady Corporation,NYSE,3871282193.0,81.97,Russell R. Shaller,3346241369.0
POWI,"Power Integrations, Inc.",NASDAQ,3868073760.0,69.69,Jennifer A. Lloyd,1933724020.0
MMSI,"Merit Medical Systems, Inc.",NASDAQ,3867595188.0,64.84,Martha Goldberg Aronson,5663912120.0
CVCO,"Cavco Industries, Inc.",NASDAQ,3867232300.0,498.28,William C. Boor,3881803680.0
FG,"F&G Annuities & Life, Inc.",NYSE,3848615206.0,28.38,Christopher Owsley Blunt,4792350000.0
IRDM,Iridium Communications Inc.,NASDAQ,3847432568.0,36.39,Matthew J. Desch,3527856200.0
IRT,"Independence Realty Trust, Inc.",NYSE,3838694664.0,16.29,Scott F. Schaeffer,6322837807.0
KRC,Kilroy Realty Corporation,NYSE,3835251700.0,32.9,Angela Aman,9112751166.0
SHO-PI,"Sunstone Hotel Investors, Inc.",NYSE,3826103271.0,20.2,Bryan Albert Giglia,
COCO,"The Vita Coco Company, Inc.",NASDAQ,3821651415.0,66.95,Martin F. Roper,2833218068.0
BNL,"Broadstone Net Lease, Inc.",NYSE,3818348840.0,19.93,John D. Moragne,5852510510.0
VCX,"Fundrise Growth Tech Fund, LLC",NYSE,3814823750.0,85.01,,1188747935.0
PII,Polaris Inc.,NYSE,3810746837.0,67.22,Michael Todd Speetzen,5000425000.0
RLJ-PA,RLJ Lodging Trust,NYSE,3807065080.0,25.06,Leslie D. Hale,
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,3784980409.0,22.2,Catherine E. Owen Adams,4397429850.0
VSH,"Vishay Intertechnology, Inc.",NYSE,3783725589.0,27.8,Joel Smejkal,2620900130.0
ANF,Abercrombie & Fitch Co.,NYSE,3776802715.0,84.07,Fran Horowitz,5028308970.0
ANDG,Andersen,NYSE,3763508800.0,33.92,Mark Lawrence Vorsatz,495441000.0
RNST,Renasant Corporation,NYSE,3748746386.0,39.82,Kevin D. Chapman,3312029339.0
INDB,Independent Bank Corp.,NASDAQ,3742490861.0,77.05,Jeffrey J. Tengel,4285487558.0
BANF,BancFirst Corporation,NASDAQ,3740363615.0,111.4,David R. Harlow,3450338210.0
MTB-PH,M&T Bank Corporation,NYSE,3733195000.0,25.055,Rene F. Jones,
GTLB,GitLab Inc.,NASDAQ,3727592251.0,21.91,William Staples,5570107999.0
WSFS,WSFS Financial Corporation,NASDAQ,3714890915.0,71.15,Rodger Levenson,1979738706.0
FBP,First BanCorp.,NYSE,3712269440.0,23.84,Aurelio Aleman-Bermudez,3023107880.0
YSS,"York Space Systems, Inc.",NYSE,3711853964.0,29.24,Dirk Wallinger,4301505716.0
HHH,Howard Hughes Holdings Inc.,NYSE,3709377860.0,62.2,David R. O'Reilly,8338978330.0
NHI,"National Health Investors, Inc.",NYSE,3708595433.0,76.53,D. Eric Mendelsohn,4724033750.0
TVTX,"Travere Therapeutics, Inc.",NASDAQ,3704028980.0,40.1,Eric Dube,3644481374.0
OTTR,Otter Tail Corporation,NASDAQ,3698620560.0,88.16,Charles S. MacFarlane,4100595840.0
CTBB,Qwest Corp. NT,NYSE,3696640577.0,18.1,,1649000000.0
BBWI,"Bath & Body Works, Inc.",NYSE,3686791132.0,18.33,Daniel Heaf,8614137109.0
BILL,"Bill.com Holdings, Inc.",NYSE,3686276390.0,37.25,Rene A. Lacerte,5423931680.0
USLM,"United States Lime & Minerals, Inc.",NASDAQ,3676647981.0,128.24,Timothy W. Byrne,3061643900.0
PJT,PJT Partners Inc.,NYSE,3675717520.0,152.05,Paul Jeffrey Taubman,4176086048.0
CATY,Cathay General Bancorp,NASDAQ,3670065545.0,54.8,Chang Ming Liu,3337713220.0
ITRI,"Itron, Inc.",NASDAQ,3664804510.0,82.69,Thomas L. Deitrich,4468905280.0
LEU,Centrus Energy Corp.,NYSE,3637131173.0,191.98,Amir V. Vexler,3618168920.0
SF-PB,Stifel Financial Corp.,NYSE,3632598901.0,23.6199,Ronald James Kruszewski,
VKTX,"Viking Therapeutics, Inc.",NASDAQ,3630957234.0,31.33,Brian Lian,3797952060.0
PI,"Impinj, Inc.",NASDAQ,3629011587.0,120.04,Chris Diorio,5374062830.0
LASR,"nLIGHT, Inc.",NASDAQ,3624760761.0,64.97,Scott H. Keeney,1847929810.0
CARG,"CarGurus, Inc.",NASDAQ,3624559205.0,36.67,Jason Trevisan,3654702760.0
SMG,The Scotts Miracle-Gro Company,NYSE,3622841382.0,62.42,James S. Hagedorn,5623920000.0
KAI,Kadant Inc.,NYSE,3614952459.0,306.15,Jeffrey L. Powell,3623607199.0
ELF,"e.l.f. Beauty, Inc.",NYSE,3606910758.0,61.08,Tarang Amin,3693751900.0
